1,1992 Summer,1992,1,Barcelona
2,2012 Summer,2012,1,London
3,1920 Summer,1920,1,Antwerpen
4,1900 Summer,1900,1,Paris
5,1988 Winter,1988,2,Calgary
6,1992 Winter,1992,2,Albertville
7,1994 Winter,1994,2,Lillehammer
8,1932 Summer,1932,1,Los Angeles
9,2002 Winter,2002,2,Salt Lake City
10,1952 Summer,1952,1,Helsinki
11,1980 Winter,1980,2,Lake Placid
12,2000 Summer,2000,1,Sydney
13,1996 Summer,1996,1,Atlanta
14,1912 Summer,1912,1,Stockholm
15,1924 Summer,1924,1,Paris
16,2014 Winter,2014,2,Sochi
17,1948 Summer,1948,1,London
18,1998 Winter,1998,2,Nagano
19,2006 Winter,2006,2,Torino
20,2008 Summer,2008,1,Beijing
21,2016 Summer,2016,1,Rio de Janeiro
22,2004 Summer,2004,1,Athina
23,1960 Winter,1960,2,Squaw Valley
24,1964 Winter,1964,2,Innsbruck
25,1984 Winter,1984,2,Sarajevo
26,1984 Summer,1984,1,Los Angeles
27,1968 Summer,1968,1,Mexico City
28,1972 Summer,1972,1,Munich
29,1988 Summer,1988,1,Seoul
30,1936 Summer,1936,1,Berlin
31,1952 Winter,1952,2,Oslo
32,1956 Winter,1956,2,Cortina d'Ampezzo
33,1956 Summer,1956,1,Melbourne
34,1960 Summer,1960,1,Roma
35,1928 Summer,1928,1,Amsterdam
36,1976 Summer,1976,1,Montreal
37,1980 Summer,1980,1,Moskva
38,1964 Summer,1964,1,Tokyo
39,2010 Winter,2010,2,Vancouver
40,1968 Winter,1968,2,Grenoble
41,1906 Summer,1906,1,Athina
42,1972 Winter,1972,2,Sapporo
43,1976 Winter,1976,2,Innsbruck
44,1924 Winter,1924,2,Chamonix
45,1904 Summer,1904,1,St. Louis
46,1928 Winter,1928,2,Sankt Moritz
47,1908 Summer,1908,1,London
48,1948 Winter,1948,2,Sankt Moritz
49,1932 Winter,1932,2,Lake Placid
50,1936 Winter,1936,2,Garmisch-Partenkirchen
51,1896 Summer,1896,1,Athina
52,1956 Summer,1956,1,Stockholm
